atom,x,y,z
C,-41.811704,-42.600002,0
C,-41.811704,-38.340002,0
C,-41.811704,-34.080002,0
C,-41.811704,-29.820002,0
C,-41.811704,-25.560001,0
C,-41.811704,-21.300001,0
C,-41.811704,-17.040001,0
C,-41.811704,-12.780001,0
C,-41.811704,-8.52,0
C,-41.811704,-4.26,0
C,-41.811704,0,0
C,-41.811704,4.26,0
C,-41.811704,8.52,0
C,-41.811704,12.780001,0
C,-41.811704,17.040001,0
C,-41.811704,21.300001,0
C,-41.811704,25.560001,0
C,-41.811704,29.820002,0
C,-41.811704,34.080002,0
C,-41.811704,38.340002,0
C,-39.352192,-42.600002,0
C,-39.352192,-38.340002,0
C,-39.352192,-34.080002,0
C,-39.352192,-29.820002,0
C,-39.352192,-25.560001,0
C,-39.352192,-21.300001,0
C,-39.352192,-17.040001,0
C,-39.352192,-12.780001,0
C,-39.352192,-8.52,0
C,-39.352192,-4.26,0
C,-39.352192,0,0
C,-39.352192,4.26,0
C,-39.352192,8.52,0
C,-39.352192,12.780001,0
C,-39.352192,17.040001,0
C,-39.352192,21.300001,0
C,-39.352192,25.560001,0
C,-39.352192,29.820002,0
C,-39.352192,34.080002,0
C,-39.352192,38.340002,0
C,-36.89268,-42.600002,0
C,-36.89268,-38.340002,0
C,-36.89268,-34.080002,0
C,-36.89268,-29.820002,0
C,-36.89268,-25.560001,0
C,-36.89268,-21.300001,0
C,-36.89268,-17.040001,0
C,-36.89268,-12.780001,0
C,-36.89268,-8.52,0
C,-36.89268,-4.26,0
C,-36.89268,0,0
C,-36.89268,4.26,0
C,-36.89268,8.52,0
C,-36.89268,12.780001,0
C,-36.89268,17.040001,0
C,-36.89268,21.300001,0
C,-36.89268,25.560001,0
C,-36.89268,29.820002,0
C,-36.89268,34.080002,0
C,-36.89268,38.340002,0
C,-34.433168,-42.600002,0
C,-34.433168,-38.340002,0
C,-34.433168,-34.080002,0
C,-34.433168,-29.820002,0
C,-34.433168,-25.560001,0
C,-34.433168,-21.300001,0
C,-34.433168,-17.040001,0
C,-34.433168,-12.780001,0
C,-34.433168,-8.52,0
C,-34.433168,-4.26,0
C,-34.433168,0,0
C,-34.433168,4.26,0
C,-34.433168,8.52,0
C,-34.433168,12.780001,0
C,-34.433168,17.040001,0
C,-34.433168,21.300001,0
C,-34.433168,25.560001,0
C,-34.433168,29.820002,0
C,-34.433168,34.080002,0
C,-34.433168,38.340002,0
C,-31.973656,-42.600002,0
C,-31.973656,-38.340002,0
C,-31.973656,-34.080002,0
C,-31.973656,-29.820002,0
C,-31.973656,-25.560001,0
C,-31.973656,-21.300001,0
C,-31.973656,-17.040001,0
C,-31.973656,-12.780001,0
C,-31.973656,-8.52,0
C,-31.973656,-4.26,0
C,-31.973656,0,0
C,-31.973656,4.26,0
C,-31.973656,8.52,0
C,-31.973656,12.780001,0
C,-31.973656,17.040001,0
C,-31.973656,21.300001,0
C,-31.973656,25.560001,0
C,-31.973656,29.820002,0
C,-31.973656,34.080002,0
C,-31.973656,38.340002,0
C,-29.514144,-42.600002,0
C,-29.514144,-38.340002,0
C,-29.514144,-34.080002,0
C,-29.514144,-29.820002,0
C,-29.514144,-25.560001,0
