atom,x,y,z
C,20.34,0,0
C,20.2905,1.4188,0
C,19.8955,4.2289,0
C,19.5521,5.6065,0
C,18.5815,8.273,0
C,17.9592,9.5491,0
C,16.4554,11.9556,0
C,15.5813,13.0743,0
C,13.6101,15.1156,0
C,12.5226,16.0281,0
C,10.17,17.615,0
C,8.9165,18.2815,0
C,6.2854,19.3445,0
C,4.9207,19.7358,0
C,2.1261,20.2286,0
C,0.7099,20.3276,0
C,-2.1261,20.2286,0
C,-3.532,20.031,0
C,-6.2854,19.3445,0
C,-7.6195,18.8589,0
C,-10.17,17.615,0
C,-11.374,16.8626,0
C,-13.6101,15.1156,0
C,-14.6314,14.1294,0
C,-16.4554,11.9556,0
C,-17.2493,10.7786,0
C,-18.5815,8.273,0
C,-19.1133,6.9567,0
C,-19.8955,4.2289,0
C,-20.1421,2.8308,0
C,-20.34,0,0
C,-20.2905,-1.4188,0
C,-19.8955,-4.2289,0
C,-19.5521,-5.6065,0
C,-18.5815,-8.273,0
C,-17.9592,-9.5491,0
C,-16.4554,-11.9556,0
C,-15.5813,-13.0743,0
C,-13.6101,-15.1156,0
C,-12.5226,-16.0281,0
C,-10.17,-17.615,0
C,-8.9165,-18.2815,0
C,-6.2854,-19.3445,0
C,-4.9207,-19.7358,0
C,-2.1261,-20.2286,0
C,-0.7099,-20.3276,0
C,2.1261,-20.2286,0
C,3.532,-20.031,0
C,6.2854,-19.3445,0
C,7.6195,-18.8589,0
C,10.17,-17.615,0
C,11.374,-16.8626,0
C,13.6101,-15.1156,0
C,14.6314,-14.1294,0
C,16.4554,-11.9556,0
C,17.2493,-10.7786,0
C,18.5815,-8.273,0
C,19.1133,-6.9567,0
C,19.8955,-4.2289,0
C,20.1421,-2.8308,0
C,20.2286,2.1261,1.2298
C,20.031,3.532,1.2298
C,19.3445,6.2854,1.2298
C,18.8589,7.6195,1.2298
C,17.615,10.17,1.2298
C,16.8626,11.374,1.2298
C,15.1156,13.6101,1.2298
C,14.1294,14.6314,1.2298
C,11.9556,16.4554,1.2298
C,10.7786,17.2493,1.2298
C,8.273,18.5815,1.2298
C,6.9567,19.1133,1.2298
C,4.2289,19.8955,1.2298
C,2.8308,20.1421,1.2298
C,0,20.34,1.2298
C,-1.4188,20.2905,1.2298
C,-4.2289,19.8955,1.2298
C,-5.6065,19.5521,1.2298
C,-8.273,18.5815,1.2298
C,-9.5491,17.9592,1.2298
C,-11.9556,16.4554,1.2298
C,-13.0743,15.5813,1.2298
C,-15.1156,13.6101,1.2298
C,-16.0281,12.5226,1.2298
C,-17.615,10.17,1.2298
C,-18.2815,8.9165,1.2298
C,-19.3445,6.2854,1.2298
C,-19.7358,4.9207,1.2298
C,-20.2286,2.1261,1.2298
C,-20.3276,0.7099,1.2298
C,-20.2286,-2.1261,1.2298
C,-20.031,-3.532,1.2298
C,-19.3445,-6.2854,1.2298
C,-18.8589,-7.6195,1.2298
C,-17.615,-10.17,1.2298
C,-16.8626,-11.374,1.2298
C,-15.1156,-13.6101,1.2298
C,-14.1294,-14.6314,1.2298
C,-11.9556,-16.4554,1.2298
C,-10.7786,-17.2493,1.2298
C,-8.273,-18.5815,1.2298
C,-6.9567,-19.1133,1.2298
C,-4.2289,-19.8955,1.2298
C,-2.8308,-20.1421,1.2298
C,0,-20.34,1.2298
C,1.4188,-20.2905,1.2298
C,4.2289,-19.8955,1.2298
C,5.6065,-19.5521,1.2298
C,8.273,-18.5815,1.2298
C,9.5491,-17.9592,1.2298
C,11.9556,-16.4554,1.2298
C,13.0743,-15.5813,1.2298
C,15.1156,-13.6101,1.2298
C,16.0281,-12.5226,1.2298
C,17.615,-10.17,1.2298
C,18.2815,-8.9165,1.2298
C,19.3445,-6.2854,1.2298
C,19.7358,-4.9207,1.2298
C,20.2286,-2.1261,1.2298
C,20.3276,-0.7099,1.2298
C,19.8955,4.2289,2.4595
C,19.5521,5.6065,2.4595
C,18.5815,8.273,2.4595
C,17.9592,9.5491,2.4595
C,16.4554,11.9556,2.4595
C,15.5813,13.0743,2.4595
C,13.6101,15.1156,2.4595
C,12.5226,16.0281,2.4595
C,10.17,17.615,2.4595
C,8.9165,18.2815,2.4595
C,6.2854,19.3445,2.4595
C,4.9207,19.7358,2.4595
C,2.1261,20.2286,2.4595
C,0.7099,20.3276,2.4595
C,-2.1261,20.2286,2.4595
C,-3.532,20.031,2.4595
C,-6.2854,19.3445,2.4595
C,-7.6195,18.8589,2.4595
C,-10.17,17.615,2.4595
C,-11.374,16.8626,2.4595
C,-13.6101,15.1156,2.4595
C,-14.6314,14.1294,2.4595
C,-16.4554,11.9556,2.4595
C,-17.2493,10.7786,2.4595
C,-18.5815,8.273,2.4595
C,-19.1133,6.9567,2.4595
C,-19.8955,4.2289,2.4595
C,-20.1421,2.8308,2.4595
C,-20.34,0,2.4595
C,-20.2905,-1.4188,2.4595
C,-19.8955,-4.2289,2.4595
C,-19.5521,-5.6065,2.4595
C,-18.5815,-8.273,2.4595
C,-17.9592,-9.5491,2.4595
C,-16.4554,-11.9556,2.4595
C,-15.5813,-13.0743,2.4595
C,-13.6101,-15.1156,2.4595
C,-12.5226,-16.0281,2.4595
C,-10.17,-17.615,2.4595
C,-8.9165,-18.2815,2.4595
C,-6.2854,-19.3445,2.4595
C,-4.9207,-19.7358,2.4595
C,-2.1261,-20.2286,2.4595
C,-0.7099,-20.3276,2.4595
C,2.1261,-20.2286,2.4595
C,3.532,-20.031,2.4595
C,6.2854,-19.3445,2.4595
C,7.6195,-18.8589,2.4595
C,10.17,-17.615,2.4595
C,11.374,-16.8626,2.4595
C,13.6101,-15.1156,2.4595
C,14.6314,-14.1294,2.4595
C,16.4554,-11.9556,2.4595
C,17.2493,-10.7786,2.4595
C,18.5815,-8.273,2.4595
C,19.1133,-6.9567,2.4595
C,19.8955,-4.2289,2.4595
C,20.1421,-2.8308,2.4595
C,20.34,0,2.4595
C,20.2905,1.4188,2.4595
C,19.3445,6.2854,3.6893
C,18.8589,7.6195,3.6893
C,17.615,10.17,3.6893
C,16.8626,11.374,3.6893
C,15.1156,13.6101,3.6893
C,14.1294,14.6314,3.6893
C,11.9556,16.4554,3.6893
C,10.7786,17.2493,3.6893
C,8.273,18.5815,3.6893
C,6.9567,19.1133,3.6893
C,4.2289,19.8955,3.6893
C,2.8308,20.1421,3.6893
C,0,20.34,3.6893
C,-1.4188,20.2905,3.6893
C,-4.2289,19.8955,3.6893
C,-5.6065,19.5521,3.6893
C,-8.273,18.5815,3.6893
C,-9.5491,17.9592,3.6893
C,-11.9556,16.4554,3.6893
C,-13.0743,15.5813,3.6893
C,-15.1156,13.6101,3.6893
C,-16.0281,12.5226,3.6893
C,-17.615,10.17,3.6893
C,-18.2815,8.9165,3.6893
C,-19.3445,6.2854,3.6893
C,-19.7358,4.9207,3.6893
C,-20.2286,2.1261,3.6893
C,-20.3276,0.7099,3.6893
C,-20.2286,-2.1261,3.6893
C,-20.031,-3.532,3.6893
C,-19.3445,-6.2854,3.6893
C,-18.8589,-7.6195,3.6893
C,-17.615,-10.17,3.6893
C,-16.8626,-11.374,3.6893
C,-15.1156,-13.6101,3.6893
C,-14.1294,-14.6314,3.6893
C,-11.9556,-16.4554,3.6893
C,-10.7786,-17.2493,3.6893
C,-8.273,-18.5815,3.6893
C,-6.9567,-19.1133,3.6893
C,-4.2289,-19.8955,3.6893
C,-2.8308,-20.1421,3.6893
C,0,-20.34,3.6893
C,1.4188,-20.2905,3.6893
C,4.2289,-19.8955,3.6893
C,5.6065,-19.5521,3.6893
C,8.273,-18.5815,3.6893
C,9.5491,-17.9592,3.6893
C,11.9556,-16.4554,3.6893
C,13.0743,-15.5813,3.6893
C,15.1156,-13.6101,3.6893
C,16.0281,-12.5226,3.6893
C,17.615,-10.17,3.6893
C,18.2815,-8.9165,3.6893
C,19.3445,-6.2854,3.6893
C,19.7358,-4.9207,3.6893
C,20.2286,-2.1261,3.6893
C,20.3276,-0.7099,3.6893
C,20.2286,2.1261,3.6893
C,20.031,3.532,3.6893
C,18.5815,8.273,4.919
C,17.9592,9.5491,4.919
C,16.4554,11.9556,4.919
C,15.5813,13.0743,4.919
C,13.6101,15.1156,4.919
C,12.5226,16.0281,4.919
C,10.17,17.615,4.919
C,8.9165,18.2815,4.919
C,6.2854,19.3445,4.919
C,4.9207,19.7358,4.919
C,2.1261,20.2286,4.919
C,0.7099,20.3276,4.919
C,-2.1261,20.2286,4.919
C,-3.532,20.031,4.919
C,-6.2854,19.3445,4.919
C,-7.6195,18.8589,4.919
C,-10.17,17.615,4.919
C,-11.374,16.8626,4.919
C,-13.6101,15.1156,4.919
C,-14.6314,14.1294,4.919
C,-16.4554,11.9556,4.919
C,-17.2493,10.7786,4.919
C,-18.5815,8.273,4.919
C,-19.1133,6.9567,4.919
C,-19.8955,4.2289,4.919
C,-20.1421,2.8308,4.919
C,-20.34,0,4.919
C,-20.2905,-1.4188,4.919
C,-19.8955,-4.2289,4.919
C,-19.5521,-5.6065,4.919
C,-18.5815,-8.273,4.919
C,-17.9592,-9.5491,4.919
C,-16.4554,-11.9556,4.919
C,-15.5813,-13.0743,4.919
C,-13.6101,-15.1156,4.919
C,-12.5226,-16.0281,4.919
C,-10.17,-17.615,4.919
C,-8.9165,-18.2815,4.919
C,-6.2854,-19.3445,4.919
C,-4.9207,-19.7358,4.919
C,-2.1261,-20.2286,4.919
C,-0.7099,-20.3276,4.919
C,2.1261,-20.2286,4.919
C,3.532,-20.031,4.919
C,6.2854,-19.3445,4.919
C,7.6195,-18.8589,4.919
C,10.17,-17.615,4.919
C,11.374,-16.8626,4.919
C,13.6101,-15.1156,4.919
C,14.6314,-14.1294,4.919
C,16.4554,-11.9556,4.919
C,17.2493,-10.7786,4.919
C,18.5815,-8.273,4.919
C,19.1133,-6.9567,4.919
C,19.8955,-4.2289,4.919
C,20.1421,-2.8308,4.919
C,20.34,0,4.919
C,20.2905,1.4188,4.919
C,19.8955,4.2289,4.919
C,19.5521,5.6065,4.919
C,17.615,10.17,6.1488
C,16.8626,11.374,6.1488
C,15.1156,13.6101,6.1488
C,14.1294,14.6314,6.1488
C,11.9556,16.4554,6.1488
C,10.7786,17.2493,6.1488
C,8.273,18.5815,6.1488
C,6.9567,19.1133,6.1488
C,4.2289,19.8955,6.1488
C,2.8308,20.1421,6.1488
C,0,20.34,6.1488
C,-1.4188,20.2905,6.1488
C,-4.2289,19.8955,6.1488
C,-5.6065,19.5521,6.1488
C,-8.273,18.5815,6.1488
C,-9.5491,17.9592,6.1488
